,Time,popularity
0,2011-01-01,-1.0
1,2011-01-02,-1.0
2,2011-01-03,-1.0
3,2011-01-04,-1.0
4,2011-01-05,-1.0
5,2011-01-06,-1.0
6,2011-01-07,-1.0
7,2011-01-08,-1.0
8,2011-01-09,-1.0
9,2011-01-10,-1.0
10,2011-01-11,-1.0
11,2011-01-12,-1.0
12,2011-01-13,-1.0
13,2011-01-14,-1.0
14,2011-01-15,-1.0
15,2011-01-16,-1.0
16,2011-01-17,-1.0
17,2011-01-18,-1.0
18,2011-01-19,-1.0
19,2011-01-20,-1.0
20,2011-01-21,-1.0
21,2011-01-22,-1.0
22,2011-01-23,-1.0
23,2011-01-24,-1.0
24,2011-01-25,-0.8
25,2011-01-26,-0.8
26,2011-01-27,-0.6
27,2011-01-28,-0.6
28,2011-01-29,-0.6
29,2011-01-30,-0.6
30,2011-01-31,-0.6
31,2011-02-01,-0.6
32,2011-02-02,0.4
33,2011-02-03,0.4
34,2011-02-04,0.4
35,2011-02-05,0.4
36,2011-02-06,0.4
37,2011-02-07,0.4
38,2011-02-08,0.4
39,2011-02-09,0.4
40,2011-02-10,0.4
41,2011-02-11,0.4
42,2011-02-12,0.4
43,2011-02-13,0.4
44,2011-02-14,0.4
45,2011-02-15,0.4
46,2011-02-16,0.4
47,2011-02-17,0.4
48,2011-02-18,0.6
49,2011-02-19,0.4
50,2011-02-20,1.8
51,2011-02-21,1.4
52,2011-02-22,1.8
53,2011-02-23,1.4
54,2011-02-24,2.4
55,2011-02-25,1.4
56,2011-02-26,2.4
57,2011-02-27,1.4
58,2011-02-28,2.4
59,2011-03-01,1.4
60,2011-03-02,2.4
61,2011-03-03,1.4
62,2011-03-04,2.6
63,2011-03-05,1.4
64,2011-03-06,2.6
65,2011-03-07,1.4
66,2011-03-08,2.6
67,2011-03-09,1.4
68,2011-03-10,2.6
69,2011-03-11,1.4
70,2011-03-12,2.6
71,2011-03-13,1.4
72,2011-03-14,2.6
73,2011-03-15,1.4
74,2011-03-16,2.6
75,2011-03-17,1.4
76,2011-03-18,2.6
77,2011-03-19,1.4
78,2011-03-20,2.6
79,2011-03-21,1.4
80,2011-03-22,2.6
81,2011-03-23,1.4
82,2011-03-24,2.6
83,2011-03-25,1.4
84,2011-03-26,2.6
85,2011-03-27,1.4
86,2011-03-28,2.6
87,2011-03-29,1.4
88,2011-03-30,2.6
89,2011-03-31,1.4
90,2011-04-01,2.6
91,2011-04-02,1.4
92,2011-04-03,2.6
93,2011-04-04,1.4
94,2011-04-05,2.6
95,2011-04-06,1.4
96,2011-04-07,2.6
97,2011-04-08,1.4
98,2011-04-09,2.6
99,2011-04-10,1.4
100,2011-04-11,2.6
101,2011-04-12,1.4
102,2011-04-13,2.6
103,2011-04-14,1.4
104,2011-04-15,2.6
105,2011-04-16,1.4
106,2011-04-17,2.6
107,2011-04-18,1.4
108,2011-04-19,2.6
109,2011-04-20,1.4
110,2011-04-21,2.6
111,2011-04-22,1.4
112,2011-04-23,2.6
113,2011-04-24,1.4
114,2011-04-25,2.6
115,2011-04-26,1.4
116,2011-04-27,2.6
117,2011-04-28,1.4
118,2011-04-29,2.6
119,2011-04-30,1.4
120,2011-05-01,2.6
121,2011-05-02,1.4
122,2011-05-03,2.6
123,2011-05-04,1.4
124,2011-05-05,2.6
125,2011-05-06,1.4
126,2011-05-07,2.6
127,2011-05-08,1.4
128,2011-05-09,2.6
129,2011-05-10,1.4
130,2011-05-11,2.6
131,2011-05-12,1.4
132,2011-05-13,2.6
133,2011-05-14,1.4
134,2011-05-15,2.6
135,2011-05-16,1.4
136,2011-05-17,2.6
137,2011-05-18,1.4
138,2011-05-19,2.6
139,2011-05-20,1.4
140,2011-05-21,2.6
141,2011-05-22,1.4
142,2011-05-23,2.6
143,2011-05-24,1.4
